Frame,Timestamp,MP,PIP,DIP,AccScore
429,18599,167,177,179,17
430,18635,169,177,179,15
431,18674,170,177,179,13
432,18712,171,178,179,12
433,18748,170,178,180,13
434,18788,170,178,180,13
435,18823,167,179,181,17
436,18862,165,179,181,20
437,18901,161,180,181,25
438,18936,152,181,182,37
439,18973,147,181,182,44
440,19010,136,178,185,59
441,19048,130,176,184,67
442,19085,126,171,180,72
443,19127,124,170,179,75
444,19163,121,171,178,79
445,19200,117,170,179,84
446,19236,115,168,179,87
447,19271,112,214,186,91
448,19309,110,221,187,93
449,19345,111,263,204,92
450,19384,112,278,209,91
451,19424,113,285,210,89
452,19459,113,288,210,89
453,19495,113,288,210,89
454,19532,114,289,209,88
455,19572,114,290,210,88
456,19611,114,290,210,88
457,19654,114,290,210,88
458,19691,114,289,210,88
459,19728,113,288,209,89
460,19762,113,287,209,89
461,19796,112,285,208,91
462,19830,113,285,207,89
463,19869,111,284,207,92
464,19904,111,283,207,92
465,19939,111,282,206,92
466,19976,111,282,206,92
467,20011,111,282,206,92
468,20048,111,282,206,92
469,20083,110,281,205,93
470,20120,110,281,205,93
471,20157,110,282,205,93
472,20192,109,281,206,95
473,20226,108,278,205,96
474,20262,107,277,205,97
475,20300,107,277,205,97
476,20336,108,280,206,96
477,20380,108,280,206,96
478,20416,108,279,206,96
479,20452,107,277,204,97
480,20489,107,278,205,97
481,20524,107,278,206,97
482,20559,108,280,207,96
483,20600,109,281,207,95
484,20634,110,282,208,93
485,20670,110,283,208,93
486,20706,110,283,207,93
487,20741,110,281,206,93
488,20785,110,281,206,93
489,20850,110,284,208,93
490,20941,111,284,208,92
491,21002,113,287,208,89
492,21042,114,288,209,88
493,21081,114,250,205,88
494,21119,114,217,183,88
495,21156,119,155,176,81
496,21192,120,160,173,80
497,21230,126,166,173,72
498,21268,135,169,173,60
499,21306,140,169,172,53
500,21341,146,172,173,45
501,21381,149,173,173,41
502,21418,154,174,175,35
503,21460,156,175,175,32
504,21497,159,175,177,28
505,21535,161,175,177,25
506,21572,162,175,178,24
507,21608,163,176,178,23
508,21643,163,176,178,23
509,21677,164,176,179,21
510,21714,164,176,179,21
511,21749,164,176,179,21
512,21786,164,176,179,21
513,21823,164,176,179,21
514,21859,164,176,179,21
515,21895,163,176,179,23
516,21935,163,176,179,23
517,21973,161,177,179,25
518,22011,157,178,180,31
519,22048,154,179,180,35
520,22087,149,179,180,41
521,22126,146,178,179,45
522,22163,140,179,181,53
523,22202,137,178,180,57
524,22239,134,176,178,61
525,22273,130,175,178,67
526,22311,128,173,178,69
527,22348,126,173,177,72
528,22387,125,171,176,73
529,22422,123,171,177,76
530,22462,123,171,177,76
531,22497,121,171,177,79
532,22534,121,170,179,79
533,22567,121,170,178,79
534,22602,121,170,178,79
535,22640,121,170,178,79
536,22675,120,169,178,80
537,22713,120,168,179,80
538,22749,119,166,180,81
539,22785,118,166,180,83
540,22821,118,166,178,83
541,22859,118,166,176,83
542,22894,117,166,177,84
543,22932,116,165,177,85
544,22969,115,163,179,87
545,23005,113,163,181,89
546,23042,113,162,182,89
547,23077,113,164,184,89
548,23115,113,166,184,89
549,23152,116,169,180,85
550,23190,117,169,178,84
551,23226,120,169,177,80
552,23263,125,168,174,73
553,23302,128,169,173,69
554,23341,130,169,172,67
555,23381,137,168,171,57
556,23415,142,169,171,51
557,23450,146,170,171,45
558,23483,151,171,172,39
559,23521,154,171,172,35
560,23558,158,171,173,29
561,23593,160,172,174,27
562,23629,163,172,174,23
563,23664,166,174,176,19
564,23699,167,175,177,17
565,23734,167,175,177,17
566,23771,168,176,178,16
567,23808,167,177,179,17
568,23851,167,178,180,17
569,23886,164,179,181,21
570,23923,162,179,181,24
571,23959,158,181,181,29
572,23995,157,181,181,31
573,24034,150,181,180,40
574,24070,141,178,180,52
575,24115,136,175,178,59
576,24152,132,172,177,64
577,24194,130,170,177,67
578,24231,126,169,175,72
579,24268,125,167,175,73
580,24304,123,165,177,76
581,24338,121,162,178,79
582,24376,120,159,180,80
583,24413,120,154,181,80
584,24454,119,154,181,81
585,24494,119,212,180,81
586,24532,119,216,180,81
587,24569,119,225,185,81
588,24610,118,261,204,83
589,24655,117,268,205,84
590,24717,116,254,204,85
591,24755,115,275,208,87
592,24793,114,283,207,88
593,24827,113,286,208,89
594,24866,113,287,208,89
595,24902,114,288,209,88
596,24939,114,289,210,88
597,24978,115,290,210,87
598,25015,115,290,210,87
599,25054,114,289,210,88
600,25090,114,289,209,88
601,25128,113,288,209,89
602,25164,112,287,210,91
603,25199,111,286,209,92
604,25237,111,287,208,92
605,25275,112,288,208,91
606,25320,115,249,204,87
607,25356,121,146,184,79
608,25394,124,159,175,75
609,25433,132,172,177,64
610,25472,144,176,177,48
611,25510,150,177,177,40
612,25547,157,175,177,31
613,25588,161,174,177,25
614,25627,163,173,177,23
615,25665,165,172,178,20
616,25702,164,147,184,21
617,25741,162,145,192,24
